attendance_id,beneficiary_id,officer_id,pillar_id,period,attendance_date,verified_at,eligible_amount_kes,status
ATT-001165,BEN-0096,OFF-005,Plus,2025-09,2025-09-05,2025-09-07 00:00:00,8000,Verified
ATT-000559,BEN-0044,OFF-012,Scholarship,2026-01,,2026-01-09 00:00:00,15000,Verified
ATT-000483,BEN-0039,OFF-006,Vocational,2025-06,2025-06-24,2025-06-24 00:00:00,10000,Verified
ATT-000889,BEN-0074,OFF-010,Scholarship,2026-05,2026-05-04,2026-05-06 00:00:00,15000,Verified
ATT-000793,BEN-0067,OFF-015,Scholarship,2026-02,,2026-02-25 00:00:00,15000,Verified
ATT-001390,BEN-0115,OFF-004,Plus,2026-03,2026-03-25,2026-03-26 00:00:00,8000,Verified
ATT-001409,BEN-0116,OFF-002,Plus,2026-03,2026-03-07,2026-03-08 00:00:00,8000,Verified
ATT-001877,BEN-0157,OFF-012,Plus,2025-09,2025-09-25,2025-09-26 00:00:00,8000,Verified
ATT-000589,BEN-0047,OFF-008,Scholarship,2025-08,2025-08-21,2025-08-21 00:00:00,15000,Verified
ATT-000349,BEN-0028,OFF-004,Vocational,2026-06,2026-06-02,2026-06-04 00:00:00,10000,Verified
ATT-001227,BEN-0101,OFF-004,Scholarship,2025-06,2025-06-27,2025-06-27 00:00:00,15000,Verified
ATT-002102,BEN-0176,OFF-001,Scholarship,2026-04,2026-04-13,2026-04-15 00:00:00,15000,Verified
ATT-002340,BEN-0195,OFF-002,Scholarship,2026-06,2026-06-14,2026-06-15 00:00:00,15000,Verified
ATT-002094,BEN-0175,OFF-002,Vocational,2026-02,2026-02-01,2026-02-02 00:00:00,10000,Verified
ATT-000631,BEN-0051,OFF-010,Vocational,2025-07,2025-07-04,2025-07-06 00:00:00,10000,Verified
ATT-000555,BEN-0044,OFF-012,Scholarship,2025-09,2025-09-20,2025-09-20 00:00:00,15000,Verified
ATT-002270,BEN-0190,OFF-004,Plus,2025-08,2025-08-11,2025-08-12 00:00:00,8000,Verified
ATT-000784,BEN-0065,OFF-002,Plus,2026-02,11/02/2026,2026-02-11 00:00:00,8000,Verified
ATT-000623,BEN-0050,OFF-009,Scholarship,2025-01,2025-01-28,2025-01-30 00:00:00,15000,Verified
ATT-001664,BEN-0137,OFF-002,Vocational,2025-04,2025-04-08,2025-04-10 00:00:00,10000,Verified
ATT-001037,BEN-0085,OFF-012,Scholarship,2025-06,2025-06-10,2025-06-12 00:00:00,15000,Verified
ATT-002222,BEN-0186,OFF-011,Vocational,2026-06,2026-06-28,2026-06-30 00:00:00,10000,Verified
ATT-000008,BEN-0001,OFF-008,Tech,2026-06,2026-06-16,2026-06-18 00:00:00,12000,Verified
ATT-001873,BEN-0156,OFF-010,Scholarship,2025-07,2025-07-10,2025-07-11 00:00:00,15000,Verified
ATT-000287,BEN-0023,OFF-002,Plus,2025-09,,2025-09-03 00:00:00,8000,Verified
ATT-000551,BEN-0044,OFF-012,Scholarship,2026-03,2026-03-20,2026-03-22 00:00:00,15000,Verified
ATT-000437,BEN-0035,OFF-008,Plus,2025-10,2025-10-13,2025-10-13 00:00:00,8000,Verified
ATT-002331,BEN-0195,OFF-002,Scholarship,2026-03,2026-03-16,2026-03-17 00:00:00,15000,Verified
ATT-001508,BEN-0124,OFF-012,Scholarship,2025-10,2025-10-12,2025-10-14 00:00:00,15000,Verified
ATT-000749,BEN-0062,OFF-014,Tech,2026-01,2026-01-09,2026-01-09 00:00:00,12000,Verified
ATT-002088,BEN-0175,OFF-002,Vocational,2025-06,2025-06-07,2025-06-07 00:00:00,10000,Verified
ATT-002026,BEN-0170,OFF-006,Plus,2026-01,2026-01-11,2026-01-13 00:00:00,8000,Verified
ATT-002026,BEN-0170,OFF-006,Plus,2026-01,2026-01-11,2026-01-13 00:00:00,8000,Verified
ATT-000934,BEN-0077,OFF-003,Scholarship,2025-04,2025-04-20,2025-04-20 00:00:00,15000,Verified
ATT-001895,BEN-0158,OFF-014,Scholarship,2026-01,2026-01-16,2026-01-17 00:00:00,15000,Verified
ATT-001704,BEN-0141,OFF-010,Plus,2025-02,2025-02-05,2025-02-07 00:00:00,8000,Verified
ATT-000297,BEN-0024,OFF-014,Plus,2025-10,2025-10-17,2025-10-18 00:00:00,8000,Verified
ATT-000062,BEN-0005,OFF-004,Scholarship,2026-06,2026-06-13,2026-06-14 00:00:00,15000,Verified
ATT-000837,BEN-0070,OFF-008,Scholarship,2025-03,2025-03-22,2025-03-23 00:00:00,15000,Verified
ATT-000994,BEN-0082,OFF-014,Vocational,2026-06,2026-06-20,2026-06-20 00:00:00,10000,Verified
ATT-002388,BEN-0199,OFF-012,Tech,2026-04,2026-04-12,2026-04-12 00:00:00,12000,Verified
ATT-000465,BEN-0037,OFF-007,Plus,2025-02,2025-02-24,2025-02-26 00:00:00,8000,Verified
ATT-000002,BEN-0001,OFF-008,Tech,2025-06,2025-06-21,2025-06-21 00:00:00,12000,Verified
ATT-000959,BEN-0079,OFF-002,Plus,2025-12,2025-12-27,2025-12-28 00:00:00,8000,Verified
ATT-000097,BEN-0008,OFF-015,Plus,2026-04,2026-04-22,2026-04-23 00:00:00,8000,Verified
ATT-001419,BEN-0117,OFF-005,Vocational,2025-10,2025-10-10,2025-10-10 00:00:00,10000,Verified
ATT-000336,BEN-0027,OFF-004,Plus,2025-01,2025-01-15,2025-01-17 00:00:00,8000,Verified
ATT-000001,BEN-0001,OFF-008,Tech,2025-05,2025-05-18,2025-05-19 00:00:00,12000,Verified
ATT-002149,BEN-0181,OFF-013,Tech,2026-03,2026-03-11,2026-03-11 00:00:00,12000,Verified
