consent_id,beneficiary_id,consent_type,status,captured_at,captured_by,status_updated_at
CON-000435,BEN-0109,Data Processing (KDPA Sec. 25),active,2024-08-03 00:00:00,OFF-006,
CON-000305,BEN-0077,Photography & Media,active,2024-07-21 00:00:00,OFF-003,
CON-000324,BEN-0081,Automated SMS/WhatsApp Communications,active,2024-08-29 00:00:00,OFF-005,
CON-000615,BEN-0154,Data Processing (KDPA Sec. 25),active,2024-08-05 00:00:00,OFF-005,
CON-000547,BEN-0137,Data Processing (KDPA Sec. 25),active,2024-09-22 00:00:00,OFF-002,
CON-000493,BEN-0124,Photography & Media,active,2024-09-10 00:00:00,OFF-012,
CON-000070,BEN-0018,Third-Party Donor Reporting,active,2024-12-24 00:00:00,OFF-008,
CON-000222,BEN-0056,Third-Party Donor Reporting,withdrawn,2024-06-14 00:00:00,OFF-005,2024-09-08 00:00:00
CON-000258,BEN-0065,Third-Party Donor Reporting,pending,14/09/2024,OFF-002,
CON-000247,BEN-0062,Data Processing (KDPA Sec. 25),active,2024-07-07 00:00:00,OFF-014,
CON-000308,BEN-0077,Automated SMS/WhatsApp Communications,active,2024-07-26 00:00:00,OFF-003,
CON-000603,BEN-0151,Data Processing (KDPA Sec. 25),active,2024-11-25 00:00:00,OFF-013,
CON-000298,BEN-0075,Third-Party Donor Reporting,active,2024-12-22 00:00:00,OFF-012,
CON-000713,BEN-0179,Photography & Media,active,2024-11-20 00:00:00,OFF-001,
CON-000679,BEN-0170,Data Processing (KDPA Sec. 25),pending,2024-06-28 00:00:00,OFF-006,
CON-000378,BEN-0095,Third-Party Donor Reporting,active,2024-10-16 00:00:00,OFF-011,
CON-000127,BEN-0032,Data Processing (KDPA Sec. 25),active,2024-07-16 00:00:00,OFF-005,
CON-000631,BEN-0158,Data Processing (KDPA Sec. 25),active,2024-06-19 00:00:00,OFF-014,
CON-000498,BEN-0125,Third-Party Donor Reporting,active,2024-12-08 00:00:00,OFF-014,
CON-000728,BEN-0182,Automated SMS/WhatsApp Communications,active,2024-11-21 00:00:00,OFF-004,
CON-000438,BEN-0110,Third-Party Donor Reporting,active,2024-08-30 00:00:00,OFF-005,
CON-000173,BEN-0044,Photography & Media,active,2025-01-06 00:00:00,OFF-012,
CON-000146,BEN-0037,Third-Party Donor Reporting,active,2024-12-29 00:00:00,OFF-007,
CON-000232,BEN-0058,Automated SMS/WhatsApp Communications,pending,2024-11-26 00:00:00,OFF-015,
CON-000407,BEN-0102,Data Processing (KDPA Sec. 25),withdrawn,2024-07-24 00:00:00,OFF-013,2024-10-21 00:00:00
CON-000352,BEN-0088,Automated SMS/WhatsApp Communications,active,2024-06-30 00:00:00,OFF-002,
CON-000718,BEN-0180,Third-Party Donor Reporting,active,2024-11-04 00:00:00,OFF-010,
CON-000183,BEN-0046,Data Processing (KDPA Sec. 25),active,2024-07-15 00:00:00,OFF-012,
CON-000423,BEN-0106,Data Processing (KDPA Sec. 25),active,2024-10-13 00:00:00,OFF-007,
CON-000229,BEN-0058,Photography & Media,active,2024-11-23 00:00:00,OFF-015,
CON-000251,BEN-0063,Data Processing (KDPA Sec. 25),active,2024-09-15 00:00:00,OFF-007,
CON-000418,BEN-0105,Third-Party Donor Reporting,active,2024-07-24 00:00:00,OFF-012,
CON-000098,BEN-0025,Third-Party Donor Reporting,active,2024-12-06 00:00:00,OFF-009,
CON-000244,BEN-0061,Automated SMS/WhatsApp Communications,active,2024-11-01 00:00:00,OFF-008,
CON-000635,BEN-0159,Data Processing (KDPA Sec. 25),active,2024-09-04 00:00:00,OFF-009,
CON-000365,BEN-0092,Photography & Media,active,2024-07-26 00:00:00,OFF-008,
CON-000534,BEN-0134,Third-Party Donor Reporting,active,2025-01-06 00:00:00,OFF-003,
CON-000486,BEN-0122,Third-Party Donor Reporting,active,2024-09-04 00:00:00,OFF-005,
CON-000456,BEN-0114,Automated SMS/WhatsApp Communications,active,2024-09-09 00:00:00,OFF-006,
CON-000445,BEN-0112,Photography & Media,active,2024-10-18 00:00:00,OFF-007,
CON-000226,BEN-0057,Third-Party Donor Reporting,expired,2024-10-07 00:00:00,OFF-012,2025-04-06 00:00:00
CON-000745,BEN-0187,Photography & Media,active,2024-10-01 00:00:00,OFF-010,
CON-000249,BEN-0063,Photography & Media,withdrawn,2024-09-18 00:00:00,OFF-007,2024-10-21 00:00:00
CON-000330,BEN-0083,Third-Party Donor Reporting,active,2024-09-04 00:00:00,OFF-001,
CON-000114,BEN-0029,Third-Party Donor Reporting,expired,2024-12-05 00:00:00,OFF-006,2025-03-09 00:00:00
CON-000200,BEN-0050,Automated SMS/WhatsApp Communications,active,2024-09-04 00:00:00,OFF-009,
CON-000546,BEN-0137,Third-Party Donor Reporting,active,25/09/2024,OFF-002,
CON-000540,BEN-0135,Automated SMS/WhatsApp Communications,withdrawn,2024-12-09 00:00:00,OFF-007,2025-06-21 00:00:00
CON-000313,BEN-0079,Photography & Media,active,2024-12-21 00:00:00,OFF-002,
CON-000608,BEN-0152,Automated SMS/WhatsApp Communications,active,2024-08-23 00:00:00,OFF-007,
CON-000693,BEN-0174,Photography & Media,active,17/06/2024,OFF-002,
CON-000789,BEN-0198,Photography & Media,active,2024-10-16 00:00:00,OFF-011,
CON-000677,BEN-0170,Photography & Media,active,2024-06-27 00:00:00,OFF-006,
CON-000756,BEN-0189,Automated SMS/WhatsApp Communications,active,2024-07-18 00:00:00,OFF-002,
CON-000387,BEN-0097,Data Processing (KDPA Sec. 25),active,2024-07-17 00:00:00,OFF-010,
CON-000055,BEN-0014,Data Processing (KDPA Sec. 25),pending,2024-10-12 00:00:00,OFF-013,
CON-000158,BEN-0040,Third-Party Donor Reporting,active,2024-10-08 00:00:00,OFF-014,
CON-000442,BEN-0111,Third-Party Donor Reporting,expired,2025-01-03 00:00:00,OFF-002,2025-07-03 00:00:00
CON-000630,BEN-0158,Third-Party Donor Reporting,active,2024-06-22 00:00:00,OFF-014,
CON-000729,BEN-0183,Photography & Media,active,2024-12-12 00:00:00,OFF-014,
CON-000721,BEN-0181,Photography & Media,withdrawn,2024-06-18 00:00:00,OFF-013,2024-10-12 00:00:00
CON-000117,BEN-0030,Photography & Media,active,2024-08-30 00:00:00,OFF-011,
CON-000133,BEN-0034,Photography & Media,active,,OFF-009,
CON-000502,BEN-0126,Third-Party Donor Reporting,active,2024-12-19 00:00:00,OFF-013,
CON-000764,BEN-0191,Automated SMS/WhatsApp Communications,active,2024-09-24 00:00:00,OFF-012,
CON-000594,BEN-0149,Third-Party Donor Reporting,active,2024-08-29 00:00:00,OFF-005,
CON-000239,BEN-0060,Data Processing (KDPA Sec. 25),active,2024-08-23 00:00:00,OFF-012,
CON-000473,BEN-0119,Photography & Media,active,2024-08-28 00:00:00,OFF-010,
CON-000181,BEN-0046,Photography & Media,active,2024-07-15 00:00:00,OFF-012,
CON-000646,BEN-0162,Third-Party Donor Reporting,active,2024-11-19 00:00:00,OFF-011,
CON-000724,BEN-0181,Automated SMS/WhatsApp Communications,active,2024-06-21 00:00:00,OFF-013,
CON-000443,BEN-0111,Data Processing (KDPA Sec. 25),active,2025-01-09 00:00:00,OFF-002,
CON-000384,BEN-0096,Automated SMS/WhatsApp Communications,active,2024-07-23 00:00:00,OFF-005,
CON-000153,BEN-0039,Photography & Media,active,2024-08-31 00:00:00,OFF-006,
CON-000124,BEN-0031,Automated SMS/WhatsApp Communications,active,15/06/2024,OFF-008,
CON-000711,BEN-0178,Data Processing (KDPA Sec. 25),active,2024-11-25 00:00:00,OFF-005,
CON-000563,BEN-0141,Data Processing (KDPA Sec. 25),active,2024-12-15 00:00:00,OFF-010,
CON-000478,BEN-0120,Third-Party Donor Reporting,active,2024-12-25 00:00:00,OFF-015,
CON-000302,BEN-0076,Third-Party Donor Reporting,active,2024-09-28 00:00:00,OFF-015,
CON-000094,BEN-0024,Third-Party Donor Reporting,active,2024-09-11 00:00:00,OFF-014,
CON-000101,BEN-0026,Photography & Media,active,2025-01-03 00:00:00,OFF-007,
CON-000583,BEN-0146,Data Processing (KDPA Sec. 25),active,2024-07-15 00:00:00,OFF-015,
CON-000137,BEN-0035,Photography & Media,active,2024-08-01 00:00:00,OFF-008,
CON-000297,BEN-0075,Photography & Media,active,2024-12-14 00:00:00,OFF-012,
CON-000138,BEN-0035,Third-Party Donor Reporting,pending,2024-08-07 00:00:00,OFF-008,
CON-000079,BEN-0020,Data Processing (KDPA Sec. 25),active,2024-08-20 00:00:00,OFF-002,
CON-000100,BEN-0025,Automated SMS/WhatsApp Communications,active,2024-12-03 00:00:00,OFF-009,
CON-000103,BEN-0026,Data Processing (KDPA Sec. 25),active,2025-01-01 00:00:00,OFF-007,
CON-000669,BEN-0168,Photography & Media,active,2024-07-18 00:00:00,OFF-013,
CON-000539,BEN-0135,Data Processing (KDPA Sec. 25),expired,2024-12-20 00:00:00,OFF-007,2025-05-14 00:00:00
CON-000414,BEN-0104,Third-Party Donor Reporting,expired,11/11/2024,OFF-007,2025-05-22 00:00:00
CON-000188,BEN-0047,Automated SMS/WhatsApp Communications,active,2024-10-26 00:00:00,OFF-008,
CON-000254,BEN-0064,Third-Party Donor Reporting,active,2024-08-25 00:00:00,OFF-001,
CON-000763,BEN-0191,Data Processing (KDPA Sec. 25),expired,2024-09-16 00:00:00,OFF-012,2025-01-10 00:00:00
CON-000577,BEN-0145,Photography & Media,expired,2024-08-18 00:00:00,OFF-001,2025-01-23 00:00:00
CON-000427,BEN-0107,Data Processing (KDPA Sec. 25),pending,2025-01-06 00:00:00,OFF-002,
CON-000012,BEN-0003,Automated SMS/WhatsApp Communications,active,2024-08-02 00:00:00,OFF-005,
CON-000294,BEN-0074,Third-Party Donor Reporting,active,2024-10-22 00:00:00,OFF-010,
CON-000489,BEN-0123,Photography & Media,active,2024-10-27 00:00:00,OFF-012,
CON-000638,BEN-0160,Third-Party Donor Reporting,active,2024-09-09 00:00:00,OFF-014,
CON-000560,BEN-0140,Automated SMS/WhatsApp Communications,active,2024-10-30 00:00:00,OFF-015,
CON-000692,BEN-0173,Automated SMS/WhatsApp Communications,active,2024-08-17 00:00:00,OFF-003,
CON-000567,BEN-0142,Data Processing (KDPA Sec. 25),withdrawn,2024-07-25 00:00:00,OFF-007,2024-12-24 00:00:00
CON-000326,BEN-0082,Third-Party Donor Reporting,active,2024-08-15 00:00:00,OFF-014,
CON-000458,BEN-0115,Third-Party Donor Reporting,active,2024-10-09 00:00:00,OFF-004,
CON-000782,BEN-0196,Third-Party Donor Reporting,active,2024-07-19 00:00:00,OFF-004,
