record_id,date,depot,product,opening_stock_liters,received_pipeline_liters,dispatched_liters,book_closing_stock_liters,physical_dip_closing_stock_liters,variance_liters
INV-BAL-344718,2025-01-15,Nairobi,AGO,585196,689640,54182,1220654,1219831,-823
INV-BAL-523463,,Mombasa (Kipevu),LPG,1014058,605491,0,1619549,1616083,-3466
INV-BAL-166336,2025-09-19,Mombasa (Kipevu),HFO,689804,0,0,689804,690422,618
INV-BAL-689274,2025-03-27,Mombasa (Kipevu),LUB,1036139,0,40617,995522,996378,856
INV-BAL-289690,17/01/2025,Eldoret,PMS,982651,0,0,982651,979747,-2904
INV-BAL-367750,2025-10-15,Eldoret,PMS,1111146,0,0,1111146,1111479,333
INV-BAL-310889,2025-02-24,Mombasa (KOSF),LPG,1272712,783996,35771,2020937,2017649,-3288
INV-BAL-038638,2025-10-08,Eldoret,AGO,1715046,0,0,1715046,1711052,-3994
INV-BAL-112475,2025-06-30,Kisumu,HFO,560861,0,0,560861,558020,-2841
INV-BAL-817409,2025-02-07,Mombasa (KOSF),DPK,789532,700416,0,1489948,1490006,58
INV-BAL-636791,2025-02-15,Mombasa (Kipevu),PMS,610360,0,0,610360,606791,-3569
INV-BAL-401936,,Nairobi,JETA1,1861444,710840,42808,2529476,2531434,1958
INV-BAL-501911,2025-08-18,Eldoret,JETA1,806884,0,0,806884,807503,619
INV-BAL-385266,2025-01-27,Kisumu,JETA1,1884573,0,106510,1778063,1773108,-4955
INV-BAL-192761,2025-05-28,Mombasa (Kipevu),LUB,944553,0,0,944553,939688,-4865
INV-BAL-415365,2026-03-15,Mombasa (KOSF),AGO,1732468,0,71163,1661305,1658299,-3006
INV-BAL-938727,2026-06-16,Mombasa (Kipevu),DPK,1428523,0,31968,1396555,1395921,-634
INV-BAL-203528,2025-12-30,Eldoret,HFO,1424842,0,0,1424842,1420328,-4514
INV-BAL-772115,2026-01-30,Mombasa (KOSF),HFO,1216735,0,91311,1125424,1121485,-3939
INV-BAL-481751,2025-03-25,Mombasa (KOSF),AGO,1397750,0,0,1397750,1395183,-2567
INV-BAL-459290,,Kisumu,LUB,645552,0,21453,624099,622343,-1756
INV-BAL-737912,2026-05-02,Nairobi,JETA1,903094,0,0,903094,902405,-689
INV-BAL-469634,2026-01-25,Mombasa (Kipevu),LUB,900511,0,0,900511,897786,-2725
INV-BAL-635832,2026-05-26,Nairobi,PMS,1349075,0,45984,1303091,1301207,-1884
INV-BAL-064995,2025-02-19,Kisumu,PMS,937572,792593,24093,1706072,1705853,-219
INV-BAL-318809,2025-11-23,Mombasa (Kipevu),DPK,1013187,0,0,1013187,1008391,-4796
INV-BAL-944364,2026-03-20,Nairobi,JETA1,1106183,0,24581,1081602,1077467,-4135
INV-BAL-308299,,Eldoret,HFO,1530959,0,0,1530959,1531303,344
INV-BAL-952233,2025-12-31,Kisumu,PMS,1847884,0,0,1847884,1843293,-4591
INV-BAL-059690,2025-06-21,Mombasa (Kipevu),AGO,1402510,0,24968,1377542,1374744,-2798
INV-BAL-906787,2025-06-08,Mombasa (Kipevu),HFO,1473311,444755,25735,1892331,1893735,1404
INV-BAL-372903,2026-04-04,Kisumu,AGO,1884415,748943,0,2633358,2632431,-927
INV-BAL-688142,2025-03-11,Kisumu,AGO,981482,0,93528,887954,886364,-1590
INV-BAL-511871,2026-01-28,Kisumu,LPG,895226,0,0,895226,891414,-3812
INV-BAL-691237,2025-05-24,Kisumu,JETA1,1421058,0,49469,1371589,1373517,1928
INV-BAL-923160,2025-01-19,Nairobi,JETA1,1144640,0,33006,1111634,1110317,-1317
INV-BAL-846164,2026-03-27,Eldoret,PMS,1349605,0,0,1349605,1346670,-2935
INV-BAL-642816,2025-06-20,Mombasa (KOSF),JETA1,1714823,0,42384,1672439,1668214,-4225
INV-BAL-733562,2026-04-03,Mombasa (KOSF),AGO,1878335,0,0,1878335,1878264,-71
INV-BAL-755054,2025-05-30,Eldoret,HFO,1077529,0,0,1077529,1077532,3
INV-BAL-854801,2025-10-04,Eldoret,LPG,1095808,319184,34603,1380389,1380232,-157
INV-BAL-720016,2026-02-06,Nairobi,DPK,1403220,0,0,1403220,1398437,-4783
INV-BAL-951086,2026-02-04,Eldoret,LPG,1981119,535952,26729,2490342,2490428,86
INV-BAL-258589,,Kisumu,AGO,1124985,0,34628,1090357,1086163,-4194
INV-BAL-007380,2025-07-04,Kisumu,PMS,603475,0,0,603475,604626,1151
INV-BAL-521329,2025-08-14,Eldoret,PMS,1076214,0,32196,1044018,1045195,1177
INV-BAL-740729,2026-03-21,Mombasa (Kipevu),AGO,757096,0,0,757096,757714,618
INV-BAL-036877,2025-03-21,Mombasa (Kipevu),JETA1,1595931,0,53441,1542490,1541643,-847
INV-BAL-670935,2026-02-28,Kisumu,HFO,902011,0,0,902011,903524,1513
INV-BAL-594012,2025-03-12,Kisumu,LPG,1943392,0,0,1943392,1942738,-654
INV-BAL-296494,2025-10-30,Eldoret,LUB,1857523,0,0,1857523,1858580,1057
INV-BAL-976825,2025-05-07,Mombasa (Kipevu),LPG,1810595,0,25820,1784775,1782324,-2451
INV-BAL-629784,2025-09-02,Kisumu,AGO,1998310,223907,0,2222217,2220227,-1990
INV-BAL-904747,2025-11-17,Eldoret,DPK,1199526,0,41997,1157529,1154392,-3137
INV-BAL-864406,2025-10-29,Eldoret,LUB,1968560,0,0,1968560,1966159,-2401
INV-BAL-278913,2026-03-11,Eldoret,AGO,932391,0,54678,877713,877622,-91
INV-BAL-124497,05/05/2025,Eldoret,PMS,1164792,636748,0,1801540,1801076,-464
INV-BAL-063455,2025-09-14,Kisumu,LPG,1288530,0,87182,1201348,1200130,-1218
INV-BAL-212836,2026-03-10,Mombasa (Kipevu),HFO,1160781,663897,39391,1785287,1784460,-827
INV-BAL-271429,2025-08-23,Mombasa (Kipevu),AGO,1504153,0,0,1504153,1504886,733
INV-BAL-634003,2025-09-26,Kisumu,HFO,1098740,0,53585,1045155,1044229,-926
INV-BAL-420067,2026-02-14,Kisumu,HFO,734371,0,77782,656589,657964,1375
INV-BAL-075087,,Eldoret,DPK,1220764,0,0,1220764,1220720,-44
INV-BAL-157031,,Eldoret,HFO,1267082,647429,47587,1866924,1862426,-4498
INV-BAL-619873,2026-06-27,Eldoret,LUB,1661038,0,0,1661038,1657370,-3668
INV-BAL-775940,2025-08-04,Kisumu,AGO,1458085,0,45973,1412112,1408210,-3902
INV-BAL-875944,2025-11-03,Mombasa (Kipevu),JETA1,907308,0,0,907308,904537,-2771
