invoice_id,dispatch_id,omc_id,customer_name,product,date,value_kes
INV-12662,DISP-08785,OMC-005,PetroOil Kenya,Lubricants,2025-08-15,150665
INV-80002,DISP-07326,OMC-014,Texol Energies,Jet A-1,2026-02-15,189966
INV-38558,DISP-07999,OMC-009,Dalbit Petroleum,Heavy Fuel Oil,2025-03-04,196150
INV-63591,DISP-33880,OMC-019,Tanzania Petroleum,Jet A-1,2025-03-10,201409
INV-48514,DISP-11071,OMC-002,Vivo Energy,Diesel (AGO),2025-07-05,110860
INV-85735,DISP-37454,OMC-009,Dalbit Petroleum,Heavy Fuel Oil,2025-07-05,57852
INV-68625,DISP-12871,OMC-009,Dalbit Petroleum,Diesel (AGO),2025-06-14,32711
INV-17387,DISP-30101,OMC-007,Kobil,Diesel (AGO),2026-06-30,40611
INV-60814,DISP-47055,OMC-017,KAA Aviation,Heavy Fuel Oil,2025-11-08,53150
INV-63057,DISP-44703,OMC-019,Tanzania Petroleum,Heavy Fuel Oil,2025-11-05,53195
INV-89889,DISP-00427,OMC-007,Kobil,Lubricants,2025-01-13,39197
INV-24334,DISP-03757,OMC-019,Tanzania Petroleum,Jet A-1,2026-01-29," KES 143,716 "
INV-23154,DISP-31063,OMC-013,Lake Oil,LPG,2026-02-10,58849
INV-30569,DISP-18520,OMC-004,Gulf Energy,Petrol (PMS),2025-07-21,47831
INV-79673,DISP-38193,OMC-008,National Oil,Kerosene (DPK),2025-02-12,111897
INV-10038,DISP-38632,OMC-005,PetroOil Kenya,Heavy Fuel Oil,2026-05-04,28357
INV-72374,DISP-18343,OMC-016,KPA Marine,Kerosene (DPK),2026-05-29,195783
INV-50885,DISP-23141,OMC-008,National Oil,LPG,2026-02-19,238687
INV-79500,DISP-03734,OMC-005,PetroOil Kenya,Petrol (PMS),2025-08-20,59549
INV-59900,DISP-39665,OMC-016,KPA Marine,LPG,2026-05-15,130639
INV-85726,DISP-24843,OMC-017,KAA Aviation,Kerosene (DPK),2025-05-30,99012
