payment_id,invoice_id,omc_id,customer_name,remitting_bank_account,date,value_kes,installment_no
PAY-58031,INV-25718,OMC-015,Mombasa Petroleum,GB80WOIJ43135182337498,2026-03-29,59222,1
PAY-68757,INV-24248,OMC-016,KPA Marine,GB31MOOJ96499091334123,2026-01-05,141296,1
PAY-83422,INV-66963,OMC-018,Uganda National Oil,GB36RNCH17127484677378,2025-12-01,213618,1
PAY-83663,INV-74454,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2026-01-21," KES 285,615 ",1
PAY-63610,INV-47835,OMC-020,Ethiopian Oil,GB14NSVZ22219693792374,2025-10-25," KES 133,125 ",1
PAY-46294,INV-35489,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-03-27,37218,2
PAY-75958,INV-10440,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,2026-03-08,14021,2
PAY-34323,INV-27316,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-10-31,30224,1
PAY-13266,INV-25181,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-03-05,11965,2
PAY-43753,INV-12466,OMC-018,Uganda National Oil,GB36RNCH17127484677378,2025-11-20,40024,1
PAY-58300,INV-93609,OMC-010,Tamoil,GB34EABH79176936763201,2026-06-19,133714,1
PAY-48545,INV-54781,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-11-06,151206,1
PAY-69399,INV-60112,OMC-002,Vivo Energy,GB45OQIR01845146270482,2026-04-23,62632,1
PAY-90923,INV-32911,OMC-006,Hashi Energy,GB05QCFC91361939909169,2026-02-04,44934,1
PAY-59770,INV-27613,OMC-006,Hashi Energy,GB05QCFC91361939909169,2025-01-18,100264,1
PAY-18378,INV-63334,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-05-05,43185,1
PAY-85392,INV-42277,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2025-07-02,31588,1
PAY-25448,INV-42809,OMC-016,KPA Marine,GB31MOOJ96499091334123,2026-02-21," KES 27,613 ",1
PAY-21491,INV-87157,OMC-006,Hashi Energy,GB05QCFC91361939909169,2025-09-06,35519,1
PAY-90392,INV-23339,OMC-018,Uganda National Oil,GB36RNCH17127484677378,2026-07-03,34304,1
PAY-70772,INV-89179,OMC-002,Vivo Energy,GB45OQIR01845146270482,2026-04-19,182871,1
PAY-93947,INV-55088,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,2026-08-21,113832,1
PAY-83204,INV-46934,OMC-008,National Oil,GB08NAFX56342160733754,2026-06-21,159181,1
PAY-36870,INV-13180,OMC-003,Rubis Energy,GB04LOQO13315098393010,2026-05-21,185647,1
