record_id,date,depot,product,opening_stock_liters,received_pipeline_liters,dispatched_liters,book_closing_stock_liters,physical_dip_closing_stock_liters,variance_liters
INV-BAL-380132,2025-03-22,Eldoret,LUB,995574,508384,58569,1445389,1444370,-1019
INV-BAL-155564,2025-05-13,Nairobi,DPK,1707681,0,45998,1661683,1662697,1014
INV-BAL-456364,2026-03-04,Mombasa (Kipevu),LPG,1367802,0,36372,1331430,1326506,-4924
INV-BAL-680434,2026-02-03,Eldoret,AGO,551749,0,0,551749,550310,-1439
INV-BAL-202830,11/12/2025,Mombasa (Kipevu),AGO,1632582,438238,55961,2014859,2011445,-3414
INV-BAL-690040,07/08/2025,Kisumu,LPG,1676301,698216,0,2374517,2371679,-2838
INV-BAL-970696,2025-06-17,Mombasa (Kipevu),AGO,1370999,0,28725,1342274,1342715,441
INV-BAL-906646,2025-10-21,Kisumu,JETA1,1679360,0,89172,1590188,1591618,1430
INV-BAL-218865,2025-11-27,Nairobi,AGO,1865324,364725,36158,2193891,2189829,-4062
INV-BAL-833867,2026-02-26,Nairobi,LPG,1776692,0,81497,1695195,1696801,1606
INV-BAL-316140,24/01/2025,Eldoret,PMS,1730444,0,0,1730444,1726606,-3838
INV-BAL-076206,2025-05-21,Mombasa (Kipevu),DPK,1631933,0,36990,1594943,1595318,375
INV-BAL-964484,2025-09-07,Mombasa (KOSF),JETA1,1699312,567878,112376,2154814,2151631,-3183
INV-BAL-013262,2025-01-19,Mombasa (Kipevu),DPK,1519180,0,22072,1497108,1494552,-2556
INV-BAL-593159,2026-06-01,Kisumu,AGO,1269237,0,0,1269237,1265322,-3915
INV-BAL-073503,2026-03-08,Kisumu,DPK,1179565,0,32562,1147003,1144772,-2231
INV-BAL-971876,2025-06-20,Mombasa (KOSF),JETA1,1076778,0,75682,1001096,998795,-2301
INV-BAL-251269,2026-03-09,Eldoret,DPK,1174274,0,90451,1083823,1079452,-4371
INV-BAL-378795,2025-05-06,Eldoret,AGO,1652811,0,0,1652811,1648295,-4516
INV-BAL-467760,2026-06-15,Kisumu,AGO,954958,424251,0,1379209,1379418,209
INV-BAL-730157,2026-06-23,Kisumu,DPK,1389296,0,0,1389296,1390069,773
INV-BAL-434693,2025-03-03,Mombasa (KOSF),DPK,1702247,0,23866,1678381,1678450,69
INV-BAL-895069,2025-07-31,Nairobi,JETA1,1197688,0,0,1197688,1193455,-4233
INV-BAL-778949,2025-09-23,Nairobi,LPG,1762172,0,59909,1702263,1703352,1089
INV-BAL-965803,2025-03-22,Nairobi,AGO,1218838,0,0,1218838,1220709,1871
INV-BAL-837559,2025-04-18,Mombasa (KOSF),PMS,1144147,0,26619,1117528,1112915,-4613
INV-BAL-048690,2025-08-13,Kisumu,DPK,892474,0,0,892474,888229,-4245
INV-BAL-012371,10/03/2025,Mombasa (Kipevu),JETA1,674027,0,0,674027,674417,390
INV-BAL-809296,2025-11-28,Mombasa (Kipevu),LUB,1563015,0,60368,1502647,1502209,-438
INV-BAL-639741,2025-06-15,Kisumu,PMS,1033021,0,46322,986699,982472,-4227
INV-BAL-979282,2025-02-10,Eldoret,PMS,749005,0,0,749005,750336,1331
INV-BAL-590941,2025-08-28,Eldoret,LPG,1119916,0,28363,1091553,1088918,-2635
INV-BAL-331674,2026-05-31,Kisumu,JETA1,1882693,0,0,1882693,1880428,-2265
INV-BAL-962125,2025-11-02,Kisumu,LPG,1451975,0,0,1451975,1450157,-1818
INV-BAL-507759,2026-02-04,Mombasa (KOSF),AGO,1703216,0,109930,1593286,1591680,-1606
INV-BAL-416145,2025-05-29,Eldoret,LPG,757646,258709,53224,963131,964896,1765
INV-BAL-287164,2026-03-25,Nairobi,HFO,1780932,760559,0,2541491,2542441,950
INV-BAL-240354,2026-01-06,Mombasa (KOSF),PMS,1893291,0,41905,1851386,1853224,1838
INV-BAL-434504,2025-05-22,Kisumu,AGO,1510021,0,69128,1440893,1437996,-2897
INV-BAL-034183,2025-02-07,Eldoret,LUB,776869,731163,0,1508032,1509101,1069
INV-BAL-529313,2026-03-23,Kisumu,HFO,1481397,0,0,1481397,1479502,-1895
INV-BAL-676877,2025-06-13,Nairobi,LPG,1036274,0,0,1036274,1037384,1110
INV-BAL-576890,2026-05-21,Nairobi,PMS,1535932,0,25231,1510701,1507348,-3353
INV-BAL-215309,2025-07-01,Nairobi,AGO,1971085,0,32971,1938114,1939722,1608
INV-BAL-678940,2026-03-21,Eldoret,LUB,769596,0,43123,726473,727862,1389
INV-BAL-575544,2025-01-01,Kisumu,LPG,1721994,473274,0,2195268,2192775,-2493
INV-BAL-553371,2026-05-25,Eldoret,HFO,1012799,0,83253,929546,924757,-4789
INV-BAL-835014,2025-10-21,Nairobi,LPG,1501542,0,34875,1466667,1466713,46
INV-BAL-750934,2025-08-29,Mombasa (Kipevu),LUB,1514473,0,55002,1459471,1457755,-1716
INV-BAL-585670,2026-05-08,Mombasa (Kipevu),PMS,1493082,0,0,1493082,1488355,-4727
INV-BAL-522205,2025-04-23,Nairobi,HFO,1217111,0,0,1217111,1216124,-987
