loading_id,gantry_bay_id,meter_id,dispatch_id,omc_id,depot,product,physical_loaded_liters,temperature_c,density_kg_m3,loading_timestamp
LOAD-008033,BAY-05,MTR-220,DISP-08033,OMC-011,Kisumu,JETA1,58739,30.1,759.2,2026-02-17 23:33:40
LOAD-003711,BAY-06,MTR-493,DISP-03711,OMC-010,Mombasa (Kipevu),LUB,53268,28.3,733.1,2026-05-08 01:26:03
LOAD-009997,BAY-03,MTR-523,DISP-09997,OMC-007,Mombasa (Kipevu),LUB,51408,29.3,745.4,2026-05-16 15:46:38
LOAD-006934,BAY-10,MTR-166,DISP-06934,OMC-017,Eldoret,AGO,45726,25.2,799.3,2026-03-17 08:48:49
LOAD-000660,BAY-11,MTR-811,,OMC-005,Kisumu,JETA1,48902,21.3,727.8,2026-02-24 17:06:13
LOAD-008427,BAY-08,MTR-870,DISP-08427,OMC-016,Kisumu,PMS,49828,25.6,799.5,27/05/2026
LOAD-006164,BAY-02,MTR-813,DISP-06164,OMC-016,Mombasa (KOSF),AGO,40140,26.1,780.6,2026-03-15 08:41:38
LOAD-005921,BAY-11,MTR-346,DISP-05921,OMC-017,Mombasa (KOSF),LUB,29284,31.5,739.8,2025-12-19 20:33:14
LOAD-001558,BAY-10,MTR-936,DISP-01558,OMC-014,Mombasa (KOSF),HFO,25174,30.9,835.4,2025-02-09 13:52:39
LOAD-004145,BAY-03,MTR-177,DISP-04145,OMC-004,Eldoret,HFO,28085,22.5,780.4,2026-03-13 01:59:44
LOAD-009353,BAY-02,MTR-670,DISP-09353,OMC-018,Eldoret,LPG,43747,29.0,768.3,2025-12-29 23:21:20
LOAD-002270,BAY-01,MTR-660,DISP-02270,OMC-007,Mombasa (Kipevu),DPK,50977,29.6,743.3,2025-11-13 03:15:04
LOAD-000170,BAY-07,MTR-744,DISP-00170,OMC-006,Kisumu,HFO,58339,27.7,776.2,2025-09-07 18:47:12
LOAD-002847,BAY-05,MTR-665,DISP-02847,OMC-016,Eldoret,LPG,40751,28.0,821.3,2025-01-16 00:33:53
LOAD-009608,BAY-12,MTR-136,DISP-09608,OMC-003,Mombasa (KOSF),DPK,46065,29.0,818.5,2025-02-25 10:25:14
LOAD-000067,BAY-07,MTR-219,DISP-00067,OMC-008,Kisumu,PMS,56376,31.4,759.6,2026-04-28 00:54:40
LOAD-003502,BAY-12,MTR-577,DISP-03502,OMC-006,Nairobi,LUB,45461,27.4,846.2,2025-10-10 05:42:16
LOAD-002910,BAY-03,MTR-666,DISP-02910,OMC-016,Mombasa (KOSF),LPG,44164,23.6,832.3,2026-05-09 01:39:55
LOAD-006317,BAY-05,MTR-864,DISP-06317,OMC-007,Eldoret,HFO,52119,22.8,833.0,2025-01-27 17:17:18
LOAD-006399,BAY-09,MTR-444,,OMC-012,Mombasa (KOSF),LPG,21881,25.2,768.6,2026-03-10 19:33:13
LOAD-003041,BAY-09,MTR-951,DISP-03041,OMC-013,Eldoret,JETA1,55190,26.0,844.4,2025-06-13 05:17:33
LOAD-000512,BAY-01,MTR-776,DISP-00512,OMC-001,Mombasa (Kipevu),LUB,37363,21.8,794.7,2026-06-14 02:32:00
LOAD-008431,BAY-03,MTR-433,DISP-08431,OMC-009,Eldoret,AGO,56559,31.7,786.4,17/02/2025
LOAD-006797,BAY-09,MTR-530,DISP-06797,OMC-001,Eldoret,LPG,29853,30.3,849.1,2025-06-10 01:30:47
LOAD-003277,BAY-05,MTR-583,DISP-03277,OMC-013,Kisumu,AGO,22718,31.9,819.4,2025-03-03 23:44:59
LOAD-002754,BAY-01,MTR-893,DISP-02754,OMC-010,Mombasa (Kipevu),HFO,29879,24.9,750.8,2026-02-23 04:34:33
LOAD-003413,BAY-02,MTR-740,DISP-03413,OMC-007,Eldoret,PMS,48788,21.9,824.1,2025-07-28 10:21:56
LOAD-005388,BAY-05,MTR-747,DISP-05388,OMC-010,Eldoret,JETA1,41030,24.0,804.8,2025-08-03 15:40:16
LOAD-000482,BAY-06,MTR-696,DISP-00482,OMC-007,Mombasa (Kipevu),DPK,44707,25.5,721.3,2026-03-05 06:34:01
LOAD-001911,BAY-03,MTR-495,DISP-01911,OMC-011,Nairobi,DPK,41961,23.1,842.5,2025-08-11 20:16:57
LOAD-000758,BAY-03,MTR-125,DISP-00758,OMC-003,Mombasa (KOSF),JETA1,45675,29.5,763.5,2025-08-31 07:25:44
LOAD-005555,BAY-12,MTR-818,DISP-05555,OMC-007,Kisumu,LUB,38713,25.0,762.9,2026-03-26 13:41:11
LOAD-001797,BAY-11,MTR-552,DISP-01797,OMC-014,Eldoret,DPK,24741,20.2,800.8,2025-09-21 03:41:44
LOAD-003872,BAY-07,MTR-254,DISP-03872,OMC-003,Kisumu,JETA1,57118,24.9,828.3,2025-11-08 09:41:25
LOAD-009833,BAY-11,MTR-724,DISP-09833,OMC-011,Nairobi,LPG,37141,20.4,843.3,2025-11-19 03:37:11
LOAD-000631,BAY-08,MTR-919,DISP-00631,OMC-014,Nairobi,LPG,24752,21.5,817.6,2025-12-06 01:09:02
LOAD-009347,BAY-10,MTR-502,DISP-09347,OMC-019,Eldoret,HFO,39702,20.8,789.9,2025-05-05 13:50:44
LOAD-004167,BAY-08,MTR-260,DISP-04167,OMC-014,Kisumu,LUB,28519,30.6,812.7,2026-03-19 22:49:11
LOAD-007187,BAY-05,MTR-799,,OMC-003,Nairobi,AGO,43973,30.5,734.1,2026-06-06 04:50:06
LOAD-002830,BAY-08,MTR-375,DISP-02830,OMC-001,Eldoret,DPK,35913,28.9,766.6,08/08/2025
LOAD-003356,BAY-04,MTR-182,DISP-03356,OMC-015,Mombasa (KOSF),JETA1,33493,28.1,747.5,2025-11-19 04:32:12
LOAD-005944,BAY-02,MTR-437,DISP-05944,OMC-003,Eldoret,AGO,55221,22.9,797.3,2026-05-09 03:05:20
LOAD-007569,BAY-08,MTR-501,DISP-07569,OMC-017,Nairobi,AGO,32239,30.5,722.8,2025-08-09 01:19:28
LOAD-008237,BAY-08,MTR-364,DISP-08237,OMC-018,Mombasa (KOSF),DPK,57616,21.5,836.5,2026-03-06 01:59:11
LOAD-008275,BAY-11,MTR-338,DISP-08275,OMC-008,Kisumu,PMS,32791,21.2,772.9,2026-02-05 03:23:08
LOAD-005649,BAY-08,MTR-849,DISP-05649,OMC-004,Eldoret,PMS,25952,21.6,803.0,2026-02-24 19:40:56
LOAD-007598,BAY-10,MTR-824,DISP-07598,OMC-009,Kisumu,HFO,51215,22.3,745.7,2025-06-29 04:27:45
LOAD-000668,BAY-01,MTR-829,DISP-00668,OMC-017,Nairobi,DPK,44939,24.7,747.1,2026-06-13 22:09:48
LOAD-006736,BAY-07,MTR-629,DISP-06736,OMC-017,Mombasa (KOSF),HFO,48341,26.8,728.1,2026-05-20 00:59:50
LOAD-000688,BAY-01,MTR-732,DISP-00688,OMC-009,Mombasa (KOSF),JETA1,45156,31.0,730.2,2025-06-12 11:44:18
LOAD-008261,BAY-10,MTR-166,DISP-08261,OMC-001,Nairobi,DPK,35003,29.0,794.6,2025-04-08 10:06:53
LOAD-000745,BAY-10,MTR-110,DISP-00745,OMC-004,Nairobi,AGO,37461,29.0,835.5,2026-03-29 04:17:45
LOAD-007480,BAY-11,MTR-368,DISP-07480,OMC-017,Mombasa (Kipevu),AGO,47836,31.3,836.9,2025-08-29 15:08:59
LOAD-007416,BAY-07,MTR-514,DISP-07416,OMC-003,Mombasa (Kipevu),JETA1,24028,24.1,729.7,2026-04-20 21:23:42
LOAD-004509,BAY-07,MTR-311,DISP-04509,OMC-008,Nairobi,PMS,55147,20.2,808.3,2025-10-12 13:15:06
LOAD-002863,BAY-11,MTR-381,DISP-02863,OMC-010,Kisumu,LUB,30269,29.6,831.4,2025-09-04 03:57:47
LOAD-000287,BAY-12,MTR-936,,OMC-005,Nairobi,HFO,28461,22.8,825.5,2026-03-29 06:01:46
LOAD-001544,BAY-10,MTR-725,DISP-01544,OMC-018,Mombasa (KOSF),HFO,24518,25.4,849.2,2025-08-29 03:10:16
LOAD-002248,BAY-11,MTR-863,DISP-02248,OMC-002,Mombasa (Kipevu),PMS,39683,26.0,804.9,
LOAD-008270,BAY-01,MTR-710,DISP-08270,OMC-010,Kisumu,LUB,58588,23.7,820.6,2025-03-22 11:30:42
LOAD-000033,BAY-04,MTR-765,DISP-00033,OMC-013,Eldoret,LPG,22083,31.5,725.2,2025-10-12 15:20:55
LOAD-004910,BAY-12,MTR-565,DISP-04910,OMC-019,Kisumu,HFO,48905,25.6,797.6,2025-07-03 16:51:12
LOAD-005318,BAY-12,MTR-200,DISP-05318,OMC-017,Eldoret,LPG,47693,23.9,791.9,2025-11-10 23:51:15
LOAD-000405,BAY-06,MTR-441,DISP-00405,OMC-016,Kisumu,JETA1,24848,24.8,802.2,2026-03-23 14:42:21
LOAD-002301,BAY-01,MTR-680,DISP-02301,OMC-018,Eldoret,DPK,54979,31.6,838.2,2025-05-24 01:25:09
LOAD-005807,BAY-04,MTR-771,DISP-05807,OMC-001,Mombasa (Kipevu),JETA1,49129,24.1,781.3,2025-07-26 22:50:46
