dispatch_id,loading_id,date,year,month,omc_id,customer_name,product,depot,volume_liters,distance_km,truck_reg_number,driver_id,transport_tariff_kes,storage_tariff_kes,value_kes,dispatched_by
DISP-00975,LOAD-000975,2026-02-10,2026,2,OMC-010,Tamoil,DPK,Kisumu,35970,650,KA12G,DRV-67544,135841,37768,173609,CLERK-KIS-01
DISP-06078,LOAD-006078,2025-05-11,2025,5,OMC-013,Lake Oil,AGO,Eldoret,38019,700,KA78G,DRV-54935,147172,38019,185191,CLERK-ELD-03
DISP-07053,LOAD-007053,2025-07-14,2025,7,OMC-020,Ethiopian Oil,LPG,Mombasa (Kipevu),34029,5,KA23J,DRV-73566,941,34029,34970,CLERK-MOM-KIP-02
DISP-00390,LOAD-000390,2026-07-01,2026,7,OMC-016,KPA Marine,DPK,Mombasa (KOSF),36220,10,KA14H,DRV-17347,2104,38031,40135,CLERK-MOM-KOS-03
DISP-03276,LOAD-003276,2025-04-05,2025,4,OMC-013,Lake Oil,LUB,Mombasa (KOSF),26873,10,KB24G,DRV-57847,1486,26873,28359,CLERK-MOM-KOS-02
DISP-07502,LOAD-007502,2025-09-08,2025,9,OMC-010,Tamoil,LPG,Eldoret,58094,700,KA31F,DRV-92294,224882,58094,282976,CLERK-ELD-03
DISP-07164,LOAD-007164,2026-06-20,2026,6,OMC-008,National Oil,JETA1,Nairobi,49941,450,KB47G,DRV-81390,130571,52438,183009,CLERK-NAI-03
DISP-00741,LOAD-000741,2026-03-01,2026,3,OMC-004,Gulf Energy,JETA1,Nairobi,29896,450,KD18B,DRV-5339,78163,31391,109554,CLERK-NAI-02
DISP-03789,LOAD-003789,2026-02-05,2026,2,OMC-003,Rubis Energy,DPK,Mombasa (KOSF),25909,10,KB98J,DRV-64262,1505,27204," KES 28,709 ",CLERK-MOM-KOS-01
DISP-09550,LOAD-009550,21/04/2025,2025,4,OMC-001,TotalEnergies Kenya,HFO,Nairobi,52019,450,KA94J,DRV-66513,129449,52019,181468,CLERK-NAI-01
DISP-01867,LOAD-001867,2026-04-18,2026,4,OMC-005,PetroOil Kenya,HFO,Nairobi,29698,450,KD17B,DRV-8517,77645,31183,108828,CLERK-NAI-03
DISP-01978,LOAD-001978,2025-01-05,2025,1,OMC-001,TotalEnergies Kenya,HFO,Eldoret,53986,700,KA73H,DRV-90671,208980,53986,262966,CLERK-ELD-03
DISP-00047,LOAD-000047,2025-01-22,2025,1,OMC-019,Tanzania Petroleum,LPG,Kisumu,56643,650,KA32J,DRV-78021,203603,56643,260246,CLERK-KIS-02
DISP-02415,LOAD-002415,2026-04-29,2026,4,OMC-011,Hass Petroleum,LUB,Eldoret,29707,700,KA30H,DRV-13933,120818,31192,152010,CLERK-ELD-02
DISP-06379,LOAD-006379,2026-04-09,2026,4,OMC-007,Kobil,LUB,Eldoret,50923,700,KB69H,DRV-42952,207104,53469,260573,CLERK-ELD-02
DISP-01670,LOAD-001670,2026-04-06,2026,4,OMC-004,Gulf Energy,AGO,Kisumu,46099,650,KC50D,DRV-3340,174093,48404,222497,CLERK-KIS-01
DISP-07506,LOAD-007506,2025-12-29,2025,12,OMC-018,Uganda National Oil,JETA1,Eldoret,30610,700,KB47J,DRV-50331,118491,30610,149101,CLERK-ELD-03
DISP-04385,LOAD-004385,2026-04-02,2026,4,OMC-010,Tamoil,JETA1,Mombasa (Kipevu),24848,5,KB19H,DRV-56105,722,26090,26812,CLERK-MOM-KIP-02
DISP-08860,LOAD-008860,2025-06-12,2025,6,OMC-014,Texol Energies,DPK,Kisumu,38016,650,KB94G,DRV-92290,136649,38016,174665,CLERK-KIS-02
DISP-04286,LOAD-004286,2025-02-04,2025,2,OMC-011,Hass Petroleum,AGO,Eldoret,27088,700,KB36F,DRV-66152,104858,27088,131946,CLERK-ELD-01
DISP-07631,LOAD-007631,2025-12-05,2025,12,OMC-016,KPA Marine,HFO,Nairobi,21503,450,KA55G,DRV-20830,53510,21503,75013,CLERK-NAI-01
