invoice_id,dispatch_id,omc_id,customer_name,product,date,value_kes,prepared_by
INV-64733,DISP-04706,OMC-020,Ethiopian Oil,JETA1,22/03/2025,47747,FIN-004
INV-41947,DISP-08135,OMC-019,Tanzania Petroleum,PMS,," KES 45,745 ",FIN-001
INV-56237,DISP-04816,OMC-018,Uganda National Oil,PMS,2025-06-01,117581,FIN-002
INV-98017,DISP-07772,OMC-018,Uganda National Oil,PMS,2026-05-21,59861,FIN-005
INV-10610,DISP-00984,OMC-018,Uganda National Oil,LPG,2025-08-22,195437,FIN-001
INV-55046,DISP-09741,OMC-005,PetroOil Kenya,PMS,2026-02-14,35447,FIN-002
INV-58399,DISP-06212,OMC-013,Lake Oil,LUB,2025-03-27,144565,FIN-002
INV-68642,DISP-05185,OMC-010,Tamoil,DPK,2026-02-28,290171,FIN-004
INV-15770,DISP-05587,OMC-005,PetroOil Kenya,HFO,2026-03-13,100761,FIN-005
INV-82678,DISP-02179,OMC-012,Galana Energies,PMS,2026-03-10,174242,FIN-002
INV-37845,DISP-03925,OMC-017,KAA Aviation,PMS,2025-10-06,165359,FIN-005
INV-80926,DISP-08215,OMC-010,Tamoil,LUB,2026-03-28,187840,FIN-005
INV-72389,DISP-00146,OMC-020,Ethiopian Oil,PMS,2026-05-11,221050,FIN-004
INV-57773,DISP-02695,OMC-014,Texol Energies,DPK,2025-05-09,29662,FIN-001
INV-89870,DISP-05137,OMC-010,Tamoil,PMS,2025-03-15,44043,FIN-005
INV-92326,DISP-09758,OMC-009,Dalbit Petroleum,LUB,2026-07-02,39929,FIN-003
INV-84405,DISP-07065,OMC-005,PetroOil Kenya,LUB,04/02/2026,19774,FIN-003
INV-34944,DISP-05725,OMC-010,Tamoil,LUB,2026-05-17," KES 105,257 ",FIN-004
INV-43072,DISP-04245,OMC-018,Uganda National Oil,LPG,2025-04-07,224933,FIN-002
INV-44988,DISP-06577,OMC-018,Uganda National Oil,HFO,2025-08-13,28860,FIN-004
INV-31542,DISP-09312,OMC-009,Dalbit Petroleum,AGO,2025-02-17,205873,FIN-005
INV-46779,DISP-07682,OMC-014,Texol Energies,PMS,2025-09-19,291176,FIN-003
INV-28053,DISP-06462,OMC-014,Texol Energies,PMS,2025-03-06,33935,FIN-002
INV-40936,DISP-09026,OMC-020,Ethiopian Oil,LPG,2025-04-28,245929,FIN-004
INV-80631,DISP-00192,OMC-010,Tamoil,AGO,2025-04-22,83075,FIN-004
INV-60724,DISP-07659,OMC-007,Kobil,PMS,2026-05-27,139548,FIN-001
INV-25568,DISP-08991,OMC-014,Texol Energies,DPK,23/03/2025,47067,FIN-001
INV-22131,DISP-01591,OMC-015,Mombasa Petroleum,HFO,2026-05-04,255919,FIN-004
INV-92919,DISP-06421,OMC-019,Tanzania Petroleum,DPK,2025-08-13,59363,FIN-001
