payment_id,invoice_id,omc_id,customer_name,remitting_bank_account,date,value_kes,installment_no
PAY-72417,INV-11840,OMC-003,Rubis Energy,GB04LOQO13315098393010,12/06/2025,26720,1
PAY-84355,INV-69787,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-11-05,59259,1
PAY-90423,INV-89316,OMC-015,Mombasa Petroleum,GB80WOIJ43135182337498,2025-12-17,144555,1
PAY-25269,INV-34900,OMC-017,KAA Aviation,GB54HVSS04902787429671,2026-03-28," KES 235,531 ",1
PAY-98593,INV-61189,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2026-03-29,19260,2
PAY-90640,INV-53393,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-06-14,87291,1
PAY-91322,INV-31408,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-09-05,198743,1
PAY-35080,INV-74501,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-07-18,106948,1
PAY-65636,INV-34187,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-06-07,18249,1
PAY-76499,INV-77062,OMC-006,Hashi Energy,GB05QCFC91361939909169,2025-12-17,129226,1
PAY-16427,INV-13521,OMC-017,KAA Aviation,GB54HVSS04902787429671,2026-05-12,50508,1
PAY-11478,INV-14332,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-06-27,12145,2
PAY-81326,INV-12393,OMC-010,Tamoil,GB34EABH79176936763201,2025-05-12,163003,1
PAY-97623,INV-62385,OMC-008,National Oil,GB08NAFX56342160733754,23/09/2025,36204,1
PAY-48258,INV-73530,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-04-16,74904,1
PAY-43920,INV-81808,OMC-006,Hashi Energy,GB05QCFC91361939909169,2026-01-18,43600,2
PAY-40412,INV-84661,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,27/04/2026,31734,1
PAY-25093,INV-29751,OMC-018,Uganda National Oil,GB73JRAR61317127484677,27/04/2026," KES 48,770 ",1
PAY-73783,INV-76702,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,2026-03-23,94954,1
PAY-23003,INV-91224,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-09-11,29135,1
PAY-32299,INV-36029,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2026-01-18,63724,2
PAY-21868,INV-57224,OMC-007,Kobil,GB37IDDX82449353487401,25/07/2026,159449,1
PAY-12564,INV-78129,OMC-007,Kobil,GB37IDDX82449353487401,2026-07-12,167814,1
PAY-41635,INV-19804,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-11-14,219120,1
PAY-79245,INV-94644,OMC-007,Kobil,GB37IDDX82449353487401,2026-02-12,119414,1
PAY-75049,INV-61816,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-04-09,93155,2
PAY-74198,INV-85618,OMC-002,Vivo Energy,GB45OQIR01845146270482,2025-04-26,8488,2
PAY-35424,INV-40408,OMC-002,Vivo Energy,GB45OQIR01845146270482,2026-04-04,241475,1
PAY-70684,INV-75823,OMC-002,Vivo Energy,GB45OQIR01845146270482,2026-02-09,15617,1
PAY-98729,INV-11421,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-08-05,59840,1
PAY-65590,INV-87435,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-05-01,125689,1
PAY-43004,INV-81478,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2026-07-16,44354,1
