tariff_id,product,depot,pipeline_tariff_per_m3_km,storage_tariff_per_m3_day,effective_start,effective_end
TRF-2025-0283,PMS,Mombasa (KOSF),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-2904,PMS,Mombasa (Kipevu),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-8074,PMS,Nairobi,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-6915,PMS,Kisumu,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-0487,PMS,Eldoret,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-5664,AGO,Mombasa (KOSF),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-4386,AGO,Mombasa (Kipevu),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-6471,AGO,Nairobi,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-3679,AGO,Kisumu,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-0025,AGO,Eldoret,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-8525,DPK,Mombasa (KOSF),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-8737,DPK,Mombasa (Kipevu),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-0159,DPK,Nairobi,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-9201,DPK,Kisumu,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-8354,DPK,Eldoret,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-5928,JETA1,Mombasa (KOSF),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-7329,JETA1,Mombasa (Kipevu),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-8572,JETA1,Nairobi,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-8197,JETA1,Kisumu,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-7959,JETA1,Eldoret,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-6991,HFO,Mombasa (KOSF),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-2811,HFO,Mombasa (Kipevu),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-5742,HFO,Nairobi,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-7710,HFO,Kisumu,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-9358,HFO,Eldoret,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-9025,LPG,Mombasa (KOSF),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-4207,LPG,Mombasa (Kipevu),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-1301,LPG,Nairobi,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-8923,LPG,Kisumu,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-5473,LPG,Eldoret,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-3078,LUB,Mombasa (KOSF),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-0847,LUB,Mombasa (Kipevu),5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-9124,LUB,Nairobi,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-7759,LUB,Kisumu,5.53,1000.0,2025-01-01,2025-12-31
TRF-2025-0767,LUB,Eldoret,5.53,1000.0,2025-01-01,2025-12-31
TRF-2026-0283,PMS,Mombasa (KOSF),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-2904,PMS,Mombasa (Kipevu),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-8074,PMS,Nairobi,5.81,1050.0,2026-01-01,2026-12-31
